properties{
  x = 0,
  y = 0,
  width = 1280,
  height = 720,
  min_layer = -1,
  max_layer = 5,
  world = "outside",
  tileset = "Full Hyrule",
  music = "beach",
}

tile{
  layer = -1,
  x = -8,
  y = 0,
  width = 592,
  height = 720,
  pattern = "11965",
}

tile{
  layer = -1,
  x = 112,
  y = 208,
  width = 208,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 352,
  y = 160,
  width = 112,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 496,
  y = 80,
  width = 96,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 464,
  y = 112,
  width = 16,
  height = 48,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 592,
  y = -16,
  width = 16,
  height = 96,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 48,
  y = 528,
  width = 80,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 128,
  y = 512,
  width = 160,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 80,
  y = 464,
  width = 208,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 48,
  y = 272,
  width = 16,
  height = 176,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 16,
  y = 560,
  width = 16,
  height = 176,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 24,
  y = 568,
  width = 16,
  height = 160,
  pattern = "1310",
}

tile{
  layer = -1,
  x = 40,
  y = 568,
  width = 8,
  height = 160,
  pattern = "1312",
}

tile{
  layer = -1,
  x = 8,
  y = 568,
  width = 16,
  height = 160,
  pattern = "921",
}

tile{
  layer = -1,
  x = 56,
  y = 552,
  width = 64,
  height = 8,
  pattern = "1299",
}

tile{
  layer = -1,
  x = 56,
  y = 536,
  width = 64,
  height = 8,
  pattern = "1305",
}

tile{
  layer = -1,
  x = 56,
  y = 544,
  width = 64,
  height = 8,
  pattern = "1306",
}

tile{
  layer = -1,
  x = 40,
  y = 552,
  width = 16,
  height = 16,
  pattern = "1302",
}

tile{
  layer = -1,
  x = 40,
  y = 536,
  width = 16,
  height = 16,
  pattern = "1300",
}

tile{
  layer = -1,
  x = 24,
  y = 552,
  width = 16,
  height = 16,
  pattern = "1300",
}

tile{
  layer = -1,
  x = 56,
  y = 520,
  width = 64,
  height = 16,
  pattern = "919",
}

tile{
  layer = -1,
  x = 24,
  y = 552,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = -1,
  x = 40,
  y = 536,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = -1,
  x = 8,
  y = 552,
  width = 16,
  height = 16,
  pattern = "928",
}

tile{
  layer = -1,
  x = 24,
  y = 536,
  width = 16,
  height = 16,
  pattern = "928",
}

tile{
  layer = -1,
  x = 40,
  y = 520,
  width = 16,
  height = 16,
  pattern = "928",
}

tile{
  layer = -1,
  x = 32,
  y = 544,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = -1,
  x = 120,
  y = 520,
  width = 16,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 120,
  y = 520,
  width = 16,
  height = 16,
  pattern = "1300",
}

tile{
  layer = -1,
  x = 120,
  y = 536,
  width = 16,
  height = 16,
  pattern = "1302",
}

tile{
  layer = -1,
  x = 120,
  y = 520,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = -1,
  x = 136,
  y = 536,
  width = 144,
  height = 8,
  pattern = "1299",
}

tile{
  layer = -1,
  x = 136,
  y = 520,
  width = 144,
  height = 8,
  pattern = "1305",
}

tile{
  layer = -1,
  x = 136,
  y = 528,
  width = 144,
  height = 8,
  pattern = "1306",
}

tile{
  layer = -1,
  x = 136,
  y = 504,
  width = 144,
  height = 16,
  pattern = "919",
}

tile{
  layer = -1,
  x = 280,
  y = 472,
  width = 16,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 280,
  y = 504,
  width = 16,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 288,
  y = 480,
  width = 16,
  height = 32,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 296,
  y = 488,
  width = 16,
  height = 16,
  pattern = "1310",
}

tile{
  layer = -1,
  x = 280,
  y = 504,
  width = 16,
  height = 16,
  pattern = "1300",
}

tile{
  layer = -1,
  x = 280,
  y = 472,
  width = 16,
  height = 16,
  pattern = "1293",
}

tile{
  layer = -1,
  x = 280,
  y = 456,
  width = 16,
  height = 16,
  pattern = "1290",
}

tile{
  layer = -1,
  x = 296,
  y = 472,
  width = 16,
  height = 16,
  pattern = "1290",
}

tile{
  layer = -1,
  x = 280,
  y = 520,
  width = 16,
  height = 16,
  pattern = "1302",
}

tile{
  layer = -1,
  x = 296,
  y = 504,
  width = 16,
  height = 16,
  pattern = "1302",
}

tile{
  layer = -1,
  x = 280,
  y = 440,
  width = 16,
  height = 16,
  pattern = "1317",
}

tile{
  layer = -1,
  x = 296,
  y = 456,
  width = 16,
  height = 16,
  pattern = "1317",
}

tile{
  layer = -1,
  x = 280,
  y = 488,
  width = 16,
  height = 16,
  pattern = "921",
}

tile{
  layer = -1,
  x = 280,
  y = 472,
  width = 16,
  height = 16,
  pattern = "922",
}

tile{
  layer = -1,
  x = 280,
  y = 504,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = -1,
  x = 88,
  y = 472,
  width = 192,
  height = 16,
  pattern = "918",
}

tile{
  layer = -1,
  x = 88,
  y = 440,
  width = 192,
  height = 16,
  pattern = "1291",
}

tile{
  layer = -1,
  x = 88,
  y = 432,
  width = 192,
  height = 8,
  pattern = "1289",
}

tile{
  layer = -1,
  x = 88,
  y = 456,
  width = 192,
  height = 16,
  pattern = "1294",
}

tile{
  layer = -1,
  x = 56,
  y = 280,
  width = 16,
  height = 160,
  pattern = "1310",
}

tile{
  layer = -1,
  x = 72,
  y = 280,
  width = 8,
  height = 144,
  pattern = "1312",
}

tile{
  layer = -1,
  x = 72,
  y = 424,
  width = 16,
  height = 16,
  pattern = "1287",
}

tile{
  layer = -1,
  x = 56,
  y = 440,
  width = 16,
  height = 16,
  pattern = "1293",
}

tile{
